label,text
0,in rhode island 9 percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only 3 percent
0,in just 17 years spending for social security federal health care and interest on the debt will exceed all tax revenue
0,president obama took more money from wall street in the 2008 campaign than anybody ever had
0,donald trump has said nuclear proliferation is ok
0,hillary clinton has taken over 800 000 from lobbyists
1,barack obama has never even worked in business
0,says the arizona immigration law expressly bans racial profiling
1,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the u s mexico border
0,on the va over 300 000 veterans have died waiting for care
0,were now spending 42 percent of our economy on government
0,rob cornilles supports privatizing medicare
1,in 2005 dan branch tried to expand third trimester abortions in texas
0,we democrats have made steady progress creating jobs and improving our schools
1,michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there
0,whether you like to admit it or not half our general revenue goes to education
1,im the only one whos fought against developers draining the everglades
0,says ron johnson calls social security a ponzi scheme and wants to privatize the program
0,there are 31 other states and 10 000 other cities that have the same type of policies that we just passed referring to north carolinas house bill 2
0,climate change is directly related to the growth of terrorism
0,the jobs bill includes president obamas tax on soup kitchens
0,says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china
0,while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed
0,if milwaukee approves reducing its maximum forfeiture for marijuana possession to 50 the city would have 23 different bicycle violations that have a higher forfeiture
1,we have more illegal immigrants here than we did five years ago
0,says rick perry wrote a letter supporting hillarycare
1,the u s patent and trademark office received zero complaints about the washington redskins name
1,the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage
0,mexican immigrants are more law abiding than u s citizens and that is a statistic
0,says chris christie vetoed a jobs package of 30 bills
0,there are already more american jobs in the solar industry than in coal mining
0,says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would mass euthanize sheltered dogs and cats in gas chambers
0,barack obama is in an economy thats only worsened since hes been president of the united states
0,romney failed to take action against sanctuary cities in massachusetts
0,says new jersey is down nearly 200 000 jobs from its pre recession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for 12 consecutive months
1,says thomas eric duncan came into the united states with an elevated temperature
0,we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history
0,gas prices have gone up 2 since obama took office
0,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships
0,says judges get better benefits at a lower cost than everybody else in the state
0,there are a lot of casinos across the country that have gone bankrupt
0,small businesses create 70 percent of the jobs in america
0,seniors with coverage under medicare advantage will give up more than their share because of health care reform
0,over 12 000 school kids were arrested in florida it makes florida the nations leader in that area
0,if texas were a country our economy would rank 10 in the world
1,there are more oil rigs in operation in the united states than the rest of the world combined
0,payday lenders profit from the poor by charging 1 000 plus percent interest
0,the social security trust fund is sound without anything being done it would function well into 2038 and even after that time with no changes we could pay 80 percent of the benefits that people have earned
0,it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday
1,the obama administration shut down the amber alert program because of the government shutdown
0,the republicans have 2 percent of the muslim vote
0,w e see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world
1,says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output
0,every single one of the 41 republican senators who just blocked a raise in the minimum wage will receive a 2 800 cost of living adjustment on january 1 2015
0,in texas the no 1 name for new male babies many of whom will vote one day is jose
0,marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people
1,under the cash for clunkers program all we ve got to do is go to a local junkyard all you ve got to do is tow it to your house and you re going to get 4 500
1,not one republican has the guts to recognize that climate change is real
0,while our people work longer hours for lower wages almost all new income goes to the top 1 percent
1,david dewhurst has a record of promoting an income tax
0,point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons
0,in the past year more than 20 percent of americans have changed their mind about the war in afghanistan they conclude we shouldn t be there
1,in the last five years 28 000 people have been killed along the u s mexico border
0,the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation
1,says obama health reform law denies millions access to affordable insurance
0,says hb2 hasnt moved the needle one iota on north carolinas economy
1,close to 30 of our federal prison population consists of illegal immigrants
1,says rick scott called education not a core function of the state
1,the family research council according to some government agencies is a terrorist group
0,says rep jim weidner proposed a bill taking away health care for 80 000 of oregons children
0,says that in the 1985 election former gov tom kean had the largest winning margin for a gubernatorial candidate in jersey history
1,obamacare is the biggest tax increase in american history
0,you said that barack obama was not ready to be commander in chief
0,the median male worker in this country has not seen a raise inflation adjusted for 30 years basically
0,milwaukee mayor tom barrett has held the line on property taxes
0,im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than 200
0,unlike the gridlock in washington more than 80 percent of the bills we passed during this general assembly had bipartisan support
1,josh mandel is lying about his own record the rating of ohios investment fund has not improved
0,rick scott took 200 000 from a family that leased land for drilling and now he is trying to hide from it
0,on how money from a possible lease of the ohio turnpike would be used
0,at the beginning of the last decade america had a budget surplus of over 200 billion by the time i took office we had a one year deficit of over 1 trillion and projected deficits of 8 trillion over the next decade
0,the president has had 1 540 of his nominations confirmed only four defeated
0,u s taxpayers are being forced to fund feisal abdul raufs trip to the middle east
0,milwaukee county taxpayers paid 370 000 to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront
0,there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election
0,democratic presidents have been considerably more effective at creating private sector jobs
0,joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq
0,says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed
0,one percent of the american people make over 21 percent of all the income in america that wasnt the way before george bush became president
0,military recruiting went on at harvard every single day throughout the time kagan was there
0,says that under rick perrys plan texas has cut funding for public schools by 25
0,says david perdue wants to abolish the u s department of education which would cost georgia schools 1 billion a year and eliminate millions in student loans
0,the paul ryan budget proposal would privatize medicare
0,high school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court
0,the united states imprisons more than any nation in the world
1,says marco rubio is the one for an open border
0,over 30 years federal spending on education has grown by 375 percent but test scores remain flat
0,says cuts to medicare affect people who have already paid in we paid for it
0,david alameel is giving thousands of dollars to support the republican party candidates including john cornyn and greg abbott
0,the american healthcare system burns 18 percent of our national gdp nobody else is close
1,providences port is 200 miles closer to europe than any other eastern port
0,says you need a photo id to purchase sudafed in texas
0,twenty percent of housing in portlands pearl district is affordable
0,says allowing the payroll tax holiday to expire would end up costing another estimated 900 000 jobs in 2012
0,hillary clinton supported nafta and permanent china trade pennsylvania lost thousands of jobs
0,numerous studies have shown that these so called right to work laws do not generate jobs and economic growth
0,obama s budget plan would take national debt up to about 80 percent of gross national product historically it s been about 40 percent
0,says hillary clinton said the veterans affairs scandal is over exaggerated she said she was satisfied with what was going on
1,we now have driven health care costs down to the lowest theyve been in 50 years
0,president barack obama s initial response when we heard about the christmas underwear bomber was to say that this was the act of an isolated extremist
0,says sen sherrod brown admitted that his 787 billion stimulus law failed and after specifically attacking republicans for wanting to lower americans taxes he now claims that his stimulus bill didnt do enough to lower taxes
0,in the 1950s a lot of people got rich and they had to pay a top tax rate of 90 percent
0,the charleston s c shootershould have never been given a gun but the universal background check was not fast enough
0,sixty five percent of the iraqi people now say it s okay to shoot an american soldier
1,twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional
0,says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years
0,warren buffett still does support me
0,says george lemieux was one of two republicans who voted for president barack obamas jobs bill
1,a precinct in the allen west patrick murphy recount has 7 registered voters in guatemalan community and the tally showed 900 voted
0,about 230 000 people that were on unemployment when i took office are not on unemployment now
0,one person kathleen sebelius was going to determine whether or not 10 year old lung patient sarah murnaghan would live or die
1,ron klein repeatedly voted in favor of amnesty for illegal immigrants
1,local law enforcement will have access to the obamacare data hubs treasure trove of personal info
0,during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than 25 years
1,barack obamas columbia university id says he was a foreign student and went by barry soetoro
0,john mccain one of the richest people in a senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations
1,terry mcauliffe wants to raise your taxes 1 700 to pay for his infinite promises
0,hypocrisy at the clinton foundation top male staff made on average 218 029 while top female staff made 153 014 from 2010 2014
0,since the federal violence against women act was adopted in 1994 cases of domestic violence have fallen by 67 percent
0,says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after 30 minutes of questioning
0,on legalizing illegal immigrants
0,nearly half of all pregnancies in the u s are unintended
0,we are borrowing saudi money for saudi oil with the result being dependency and debt
0,says there are homes for sale on and around oswego lake right now for under 150 000 that anyone is welcome to buy
0,since the president became the president we have lost 3 3 million jobs in the private sector but you know whos done ok and whos not complaining today the public sector weve gained 590 000 public sector jobs
1,the top 1 percent pay over half of the entire revenue for this country
0,the difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of 816 in saved property tax money
0,chris christie has not increased the taxes on anyone
0,the united states does not have a system through which growers and dairies can bring a workforce legally into the u s
1,says he never said he would keep education funding the same
0,since 1978 college tuition nationwide has gone up something like four times the rate of inflation
0,says sen rob portman said it would be irresponsible not to cut medicare
0,most of if not all of the dekalb school construction projects always came in on or were under budget
1,palin supported right wing extremist pat buchanan for president in 2000
0,says sen sherrod brown voted to block american energy production and increase energy taxes
0,says jeanne shaheen voted for a measure that would have amounted to a new national energy tax
0,washington d c had some of the strictest gun laws in the country and when they passed them violence skyrocketed
0,seven presidents before barack obama republicans and democrats tried to expand health care to all americans
1,while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies
1,if you put the 47 billion in revenue raised over 10 years by the buffett rule into infrastructure you could create 611 000 infrastructure jobs
1,what is the proper collective noun for a group of baboons believe it or not a congress
0,i have repeatedly said that many of the predatory loans that were made in the mortgage system did target african american and latino communities
0,starting in december 2007 1 4 million jobs were created in texas in that same period the rest of the country lost 400 000 jobs
0,the health reform legislation which washington passed last year has made it more difficult to hire because its increased costs for employers
0,the cbo the congressional budget office has said that obamacare will kill 800 000 jobs
0,thompson voted against 250 000 caps on damages and almost anything that would make our legal system fairer
1,texas this fiscal year will have more money in reserve than the other 49 states combined
1,on using the strategic petroleum reserve
0,immigrants are more fertile
0,the proposed education changes will not cut one teacher s pay
1,the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in 2006
0,firearms homicides are down about 40 percent since texas passed concealed gun permit law
1,upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound
1,we spend less on defense today as of gdp than at any time since pearl harbor
0,if you got rid of the income tax today you d have about as much revenue as we had 10 years ago
0,says scott walker wants to ban common forms of birth control including the pill
1,jason kander supports obamas plan to bring the remaining suspected terrorists to u s soil
0,shelby county donated im sorry gave 44 schools to the city of memphis
0,top u s intelligence officials have toldevery member of congress including the president were about to be attacked in a serious way because of the threat emanating from syria and iraq
0,have the suburbs been inundated with former residents of atlanta housing projects absolutely not
0,in july 1996 mitt romney helped locate the missing teenage daughter of a partner at bain capital
0,blames mike mcintyre and nancy pelosi for the second straight year of no cost of living increases for social security beneficiaries
0,the government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it
0,there are mechanisms in place to shut down the internet privately
0,the american people support defunding obamacare and oppose shutting down the government
0,report that insisting on changes to social security as part of false btw those changes are supported by
0,nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun
1,the people of rhode island dont want same sex marriage
0,rep paul ryans medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit
0,this year in congress connie mack iv has missed almost half of his votes
0,1 3 of our kids drop out of high school cannot go to college or start a career
0,not even old gen eisenhower saluted military personnel as president
0,if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts
0,you cant get on an airplane but more than 2 000 people on that list have been able to buy a gun
1,74 percent of republicans support the affordable care act
0,for every 1 spent on afterschool programs we can save over 5 almost 6 in crime costs down the line
0,the federal government has 3 trillion in cash flow so we can pay our bills and wont default
1,says alex sink failed florida homeowners by using predatory lending practices
0,over 40 percent of small and mid size banks that loan money to small businesses have been wiped out since dodd frank has passed
0,you cant check out a library book without a photo id
1,says that starbucks took christmas off of their brand new cups
0,atmospheric conditions could push a footballs pressure down approximately one and a half pounds per square inch
1,hillary clinton supports unlimited abortion on demand up until the moment of birth including partial birth abortion with taxpayer funding
0,under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools
0,we went from losing 3 million jobs in the last six months of the bush administration adding almost 600 000 private sector jobs in the first six months of the year
0,the star ohio fund just received the highest possible credit rating one of these funds can receive
0,taxpayers are on the hook for less than a third of the proposed new atlanta falcons stadium and those funds are repaid from money that comes from outsiders
0,in the last 22 months businesses have created more than 3 million jobs last year they created the most jobs since 2005
0,every year more than 40 million are leaving missouri for the lone star state
0,a college loan is the only loan in the united states that you cannot refinance when interest rates go down
0,the house of representatives has never passed a resolution of disapproval to condemn a member s behavior
0,we are younger than our competitors and this is entirely because of immigration
0,recent international reports show the united states near the bottom among industrialized nations for k 12 academic achievement
0,says 24 million people in this country cant find a full time job 50 million cant see a doctor when theyre sick 47 million people need government help to feed themselves and 15 million families owe more than the value of their home
0,the policy mistakes that the clintons made got us in large degree to the situation that we are in today with mass incarceration
0,says he raised average family income by 50 percent during his tenure as arkansas governor
0,they tried to give us 400 million to build a high speed train that goes 39 miles an hour
0,says the cbo estimates that fully extending the bush tax cuts would add 600 000 1 4 million jobs in 2011 and 900 000 2 7 million jobs in 2012
0,president reagan did it raised the debt ceiling 18 times george w bush did it seven times
0,according to david cay johnston the average american pays about 22 percent of their income to federal taxes the richest 400 americans pay about 16 percent of their income to federal taxes
1,most young americans right now theyre not covered by health insurance
0,in 1952 the corporate income tax accounted for 33 percent of all federal tax revenue today despite record breaking profits corporate taxes bring in less than 9 percent
0,over the last 10 years texas created 33 percent of the net new jobs nationwide
1,says two thirds of groups targeted for irs scrutiny were not conservative
1,in the class of 1968 at patrice lumumba university in moscow mahmoud abbas was one of the members of that class and so was ali khamenei and thats where they first established relationships with the young vladimir putin
0,last week the texas state board of education sboe led by rick perrys appointee voted to remove thomas jefferson from social studies textbook standards thats right thomas jefferson was deleted from a list of historical figures who inspired political change
0,as a u s senator with salary and perks is in the top 1 percent but still paid only 13 percent in taxes last year
0,you know we can t just pull out now the truth of the matter is if we started today it would take one year one year to get 160 000 troops physically out of iraq logistically
0,from 2013 2015 the richest 14 americans increased their net wealth by more than 157 billion yet the republican budget would not require these americans to contribute one penny to deficit reduction
0,says that while foster was mayor rick kriseman was ineffective in the florida house of representatives because there was no legislation that passed the house that had krisemans name on it
0,says texas routinely gets a lot more federal spending than it pays in taxes
1,cell phone numbers go public this month
0,says it has offered 12 million in savings through 2011 and 184 million in savings over the next 25 years in contract negotiations with the city of milwaukee
1,clackamas county commissioners approved a re negotiated agreement to lower the countys contribution to trimets portland milwaukie light rail project to 19 9 million from 25 million
0,says texas has 11 different felonies you can commit with an oyster
1,the obama administration is unwinding our nations welfare to work requirements
0,electric car sales in georgia have dropped dramatically since a 5 000 tax credit was eliminated and a 200 annual registration fee was imposed july 1
0,the redskins training camp deal generated 40 million in new private investment in the city
0,the gop budget plan would cut nearly a million jobs
0,there are more people living in this country who were not born here than at anytime in the history of the country
0,says hillary clinton defended syrias president assad as a possible reformer at the start of that countrys civil war
0,the postal services financial losses result from a 2006 law that drains 5 billion a year from post office revenue while the postal service is forced to overpay billions more into federal accounts
0,as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops
1,shes voted for 60 tax increases hurting the middle class and small businesses
0,now in the house of representatives we have 40 different jobs bills that have passed and almost all of them have been bipartisan
1,sheila jackson lee of texas said hey all you wrinkly white aged has beens its time for you to die and let the next generation have your spot on the planet
0,republican small business tax cut bill spends 80 million for better google searches not job creation
0,a 2013 state law would allow the operator of an iron ore mine in northern wisconsin to fill in pristine streams and ponds with mine waste
0,america is one of the highest taxed nations in the world
1,if black america were a country itd be the 15th wealthiest nation in the world
0,since republicans took over after the 2010 election the graduation rate in wisconsin has gone from 86 percent to 88 percent the black graduation rate has gone from 60 percent to 65 percent the latino graduation rate has gone from 65 percent to 71 percent
0,it has been estimated that nearly 40 percent of all guns sold in america are sold by private unlicensed sellers either online or through gun shows
0,2008 was the deadliest year of the war in afghanistan for american forces
0,florida teachers are already paid 5 000 below the national average
0,since rick perry became governor texas has gone from 46th in the country to 50th in the population that graduates from high school
0,says amanda fritz manages less than 5 percent of city operations
0,the streetcar project planned by mayor tom barrett would be a 1900s style trolley
0,americans in the last 30 years have more than doubled the amount of money we are spending per child on education and the results have gotten worse not better
0,polls show that floridians dont want to repeal the affordable care act
1,says congressman bill pascrell voted to remove the public option from the affordable health care act
0,lawmakers were paid for their off season efforts to for the first time take the lead in drawing borders for two would be cities
1,greg abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue
0,on offshore drilling for energy
0,under a proposed medical marijuana amendment in florida you dont get refills you get it forever
1,a data storing microchip would be implanted in the majority of people who opt to become covered by the public health care option
0,enacting the right to carry act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines
0,i haven t missed a vote since 1993
0,says the treasurers office has saved 37 million in management costs for the oversight of public investments
0,says georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools
1,jorge elorza wants to impose a municipal income tax
0,the supreme court cant overrule the other two branchesof government
1,roughly 25 of ri has a criminal record
0,nathan deal cut the hope scholarship program so that literally 100 000 georgians will not be able to go to college or get technical training that they so badly needed to raise you know give them a chance at a good job
0,as governor of arkansas i cut taxes and fees almost 100 times saving the taxpayers almost 380 million i left a surplus of nearly 850 million
0,i havent raised taxes in the time ive been the governor of new jersey
1,massachusetts public schools teach kids as young as kindergartners about gay marriage
1,i m probably one of the four or five best known americans in the world
0,we are accepting more legal immigrants than we ever have in the history of the united states
0,congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure
0,six people in florida die as a result of not expanding medicaid every day
0,gov maggie hassans budget proposal raises taxes on small businesses and increases taxes and fees by 100 million
0,only in washington would politicians spend 27 million to teach moroccans how to make pottery
0,hillary clinton starts off with 47 percent of the country against her
1,saysrand paulhas put out budgets to cut the military in half
0,groups that receive foreign money are spending huge sums to influence american elections
0,says legislative cuts mean texas is spending on average 500 less per student
0,a t his current rate president obama will have added more debt to the united state of america by the end of his first term than each of the previous 43 presidents combined
